"caso","handle","dimension_original","decision","dimension_nueva","justificacion","certeza","estado"
"18","https://hdl.handle.net/11362/39661","diagnostico_estructural","mantener","","La cita explica un mecanismo institucional: descentralizar podría generar competencia contaminante entre jurisdicciones; es causalidad estructural, aunque hipotética.","Alta","propuesta_pendiente"
"19","https://hdl.handle.net/11362/39661","propuestas_politica","reclasificar","estado_de_situacion","La cita describe un conflicto institucional existente en China; no contiene propuesta ni instrumento prescriptivo.","Alta","propuesta_pendiente"
"20","https://hdl.handle.net/11362/39824","brechas_implementacion","mantener","","La poca evidencia sobre éxito y efectividad de medidas de adaptación expresa insuficiencia de implementación/evidencia frente a lo esperado.","Alta","propuesta_pendiente"
"21","https://hdl.handle.net/11362/39855","avances_implementacion","reclasificar","estado_de_situacion","La cita constata alianzas existentes, pero no informa una acción ejecutada con resultado observable; describe el estado institucional.","Alta","propuesta_pendiente"
"22","https://hdl.handle.net/11362/40297","tendencias","reclasificar","diagnostico_estructural","La cita explica que el efecto depende de la estructura económica y la magnitud del impuesto; es una relación causal, no una evolución temporal.","Alta","propuesta_pendiente"
"23","https://hdl.handle.net/11362/40297","oportunidades","reclasificar","estado_de_situacion","La cita describe la incidencia distributiva esperada de un impuesto bajo un supuesto de consumo; no presenta una ventana favorable o potencial no explotado.","Alta","propuesta_pendiente"
"24","https://hdl.handle.net/11362/40841","diagnostico_estructural","mantener","","Las elasticidades ingreso y precio explican causalmente por qué el crecimiento eleva el consumo y por qué un impuesto puede ser insuficiente; corresponde a diagnóstico estructural.","Alta","propuesta_pendiente"
"25","https://hdl.handle.net/11362/40887","diagnostico_estructural","reclasificar","brechas_implementacion","La limitación legal expresa impide al Estado adquirir acciones de seguros; es una insuficiencia institucional frente a la participación esperada.","Alta","propuesta_pendiente"
"26","https://hdl.handle.net/11362/40887","propuestas_politica","reclasificar","brechas_implementacion","La inexistencia de un ente público responsable de seguros agropecuarios describe una brecha institucional, no una recomendación.","Alta","propuesta_pendiente"
"27","https://hdl.handle.net/11362/40922","propuestas_politica","mantener","","La cita formula explícitamente que la agenda debería contemplar intercambio de experiencias y marcos legales/sistemas de información; es propuesta de política aunque también mencione que existe una agenda.","Alta","propuesta_pendiente"
"28","https://hdl.handle.net/11362/41041","brechas_implementacion","reclasificar","desafios","La cita establece que el financiamiento adecuado es condición para el éxito, pero no constata incumplimiento o insuficiencia de una política concreta; corresponde a desafío de implementación.","Media","propuesta_pendiente"
"29","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La cita establece una relación causal entre impuesto al carbono y costos económicos primarios y de interacción.","Alta","propuesta_pendiente"
"30","https://hdl.handle.net/11362/41867","tendencias","reclasificar","estado_de_situacion","La cita describe el estado incipiente y heterogéneo de la evidencia internacional, sin comparación temporal explícita.","Alta","propuesta_pendiente"
"31","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La cita explica una diferencia de impacto macroeconómico según estructura económica/desarrollo; el coeficiente aporta relación explicativa.","Alta","propuesta_pendiente"
"32","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La conclusión conserva la relación causal entre desarrollo económico y costo macroeconómico del impuesto; no es una recomendación.","Alta","propuesta_pendiente"
"33","https://hdl.handle.net/11362/42140","avances_implementacion","reclasificar","propuestas_politica","La ley establece que una comisión debería crearse, pero la cita no demuestra que se haya creado ni que exista resultado observable; es diseño normativo.","Alta","propuesta_pendiente"
"34","https://hdl.handle.net/11362/42527","avances_implementacion","mantener","","El esfuerzo realizado permitió superar una dispersión sectorial y produjo un resultado observable en la justicia ambiental.","Alta","propuesta_pendiente"
"35","https://hdl.handle.net/11362/42527","propuestas_politica","reclasificar","brechas_implementacion","La cita cuantifica un aumento de financiamiento, pero señala que sigue siendo insuficiente; expresa brecha de recursos, no propuesta.","Alta","propuesta_pendiente"
"36","https://hdl.handle.net/11362/42725","diagnostico_estructural","reclasificar","propuestas_politica","La cita prescribe diseñar mitigación y adaptación de forma complementaria; las razones explicativas son fundamento de la recomendación.","Alta","propuesta_pendiente"
"37","https://hdl.handle.net/11362/43159","tendencias","reclasificar","estado_de_situacion","La cita describe el marco vigente de políticas ambientales y un plan histórico, sin una tendencia temporal analizada.","Alta","propuesta_pendiente"
"38","https://hdl.handle.net/11362/43159","propuestas_politica","reclasificar","contexto_antecedentes","La cita define el impuesto al carbono como instrumento alternativo/complementario; informa el marco conceptual, sin recomendar adoptarlo.","Alta","propuesta_pendiente"
"39","https://hdl.handle.net/11362/43407","propuestas_politica","mantener","","La cita compara políticas y concluye que una combinación es la más apta para el desarrollo sostenible; contiene orientación evaluativa de política.","Media","propuesta_pendiente"
"40","https://hdl.handle.net/11362/43419","diagnostico_estructural","reclasificar","propuestas_politica","La cita formula una orientación explícita sobre dónde deben realizarse esfuerzos adicionales; no explica una causa estructural.","Alta",""
"41","https://hdl.handle.net/11362/43725","diagnostico_estructural","reclasificar","tendencias","La cita cuantifica una reducción proyectada hacia 2100; describe evolución esperada, no causa estructural.","Alta","propuesta_pendiente"
"42","https://hdl.handle.net/11362/43725","diagnostico_estructural","reclasificar","estado_de_situacion","La cita reporta impactos negativos proyectados del cambio climático, sin explicación causal estructural.","Alta","propuesta_pendiente"
"43","https://hdl.handle.net/11362/44210","avances_implementacion","reclasificar","propuestas_politica","La cita describe una asignación presupuestaria prevista de un impuesto; es diseño/mandato de política, no implementación con resultado.","Alta","propuesta_pendiente"
"44","https://hdl.handle.net/11362/44210","diagnostico_estructural","reclasificar","propuestas_politica","La cita sugiere acompañar el impuesto con programas de transporte; es orientación de política.","Media","propuesta_pendiente"
"45","https://hdl.handle.net/11362/44210","diagnostico_estructural","mantener","","Explica la incidencia distributiva del impuesto según estructura de tenencia de automóviles; hay causalidad socioeconómica.","Media","propuesta_pendiente"
"46","https://hdl.handle.net/11362/44210","tendencias","reclasificar","propuestas_politica","Evalúa el nivel óptimo de un instrumento fiscal y sugiere implícitamente elevarlo; no es tendencia temporal.","Media","propuesta_pendiente"
"47","https://hdl.handle.net/11362/44216","diagnostico_estructural","reclasificar","contexto_antecedentes","Describe el enfoque histórico de regulación ambiental; es marco de instrumentos, no causalidad estructural.","Media","propuesta_pendiente"
"48","https://hdl.handle.net/11362/44218","diagnostico_estructural","reclasificar","contexto_antecedentes","Define el alcance territorial del concepto, sin explicación causal climática.","Media","propuesta_pendiente"
"49","https://hdl.handle.net/11362/44280","tendencias","reclasificar","estado_de_situacion","Reporta asociación estadística entre rendimiento y superficie; no describe evolución temporal.","Media","propuesta_pendiente"
"50","https://hdl.handle.net/11362/44487","tendencias","mantener","","La cita compara el foco de financiamiento en 2016 y reporta una tendencia de priorización de la mitigación; Fondo es contexto instrumental.","Alta",""
"51","https://hdl.handle.net/11362/44551","oportunidades","mantener","","Proyecta empleos creados bajo transición energética y límite climático; es una oportunidad favorable.","Media","propuesta_pendiente"
"52","https://hdl.handle.net/11362/44551","oportunidades","mantener","","Identifica espacio de inversión e innovación con beneficios y reducción de brechas; oportunidad válida.","Media","propuesta_pendiente"
"53","https://hdl.handle.net/11362/44584","diagnostico_estructural","mantener","","Explica estructuralmente la carrera hacia el fondo y la flexibilización que limita protección ambiental.","Media","propuesta_pendiente"
"54","https://hdl.handle.net/11362/44584","diagnostico_estructural","reclasificar","estado_de_situacion","Proyecta pérdida de fiabilidad de infraestructura portuaria; es impacto esperado.","Media","propuesta_pendiente"
"55","https://hdl.handle.net/11362/44584","avances_implementacion","mantener","","Reporta metas, reducciones observadas y compromisos de CODELCO; contiene avance implementado y resultados.","Media","propuesta_pendiente"
"56","https://hdl.handle.net/11362/44590","diagnostico_estructural","reclasificar","propuestas_politica","Describe el objetivo de movilización financiera y su destino; es orientación/compromiso de política.","Media","propuesta_pendiente"
"57","https://hdl.handle.net/11362/45023","diagnostico_estructural","reclasificar","estado_de_situacion","Describe un riesgo de base y sus posibles consecuencias sobre resiliencia y seguridad alimentaria.","Media","propuesta_pendiente"
"58","https://hdl.handle.net/11362/45023","diagnostico_estructural","reclasificar","propuestas_politica","Formula una regla explícita de no uso del seguro para impactos climáticos de largo plazo.","Media","propuesta_pendiente"
"59","https://hdl.handle.net/11362/45023","oportunidades","mantener","","La cita describe una condición desfavorable y una posibilidad concreta de apertura de crédito; es una oportunidad condicionada","no una brecha asignada como dimensión principal.",""
"60","https://hdl.handle.net/11362/45604","avances_implementacion","reclasificar","propuestas_politica","Expresa una obligación normativa de empresas respecto de principios de desarrollo sostenible.","Media","propuesta_pendiente"
"61","https://hdl.handle.net/11362/45604","avances_implementacion","reclasificar","estado_de_situacion","Describe una exigencia vigente del código de conducta de una empresa y sus proveedores.","Media","propuesta_pendiente"
"62","https://hdl.handle.net/11362/45677","diagnostico_estructural","reclasificar","estado_de_situacion","Proyecta disminución productiva y aumento de dependencia sin adaptación; es impacto esperado.","Media","propuesta_pendiente"
"63","https://hdl.handle.net/11362/45677","diagnostico_estructural","reclasificar","propuestas_politica","Recoge una recomendación metodológica de la OCDE sobre indicadores de adaptación.","Media","propuesta_pendiente"
"64","https://hdl.handle.net/11362/45677","propuestas_politica","reclasificar","brechas_implementacion","Reporta dificultades de implementación y contradicciones entre regulación e incentivos.","Media","propuesta_pendiente"
"65","https://hdl.handle.net/11362/45677","diagnostico_estructural","reclasificar","propuestas_politica","Compara instrumentos fiscales y explica el uso del precio social; es contenido de política.","Media","propuesta_pendiente"
"66","https://hdl.handle.net/11362/45690","avances_implementacion","mantener","","La cita reporta programas desarrollados y su potencial de réplica; el marcador deben refiere a promoción futura, pero existe avance documentado.","Media","propuesta_pendiente"
"67","https://hdl.handle.net/11362/45693","diagnostico_estructural","reclasificar","contexto_antecedentes","Aclara supuestos y alcance interpretativo del estudio, no una causa estructural.","Media","propuesta_pendiente"
"68","https://hdl.handle.net/11362/45693","diagnostico_estructural","mantener","","Es una relación causal entre oferta/precios agrícolas y efectos distributivos sobre pobreza; el condicional describe el mecanismo, no invalida el diagnóstico.","Media","propuesta_pendiente"
"69","https://hdl.handle.net/11362/45693","diagnostico_estructural","reclasificar","estado_de_situacion","Proyecta un impacto cuantificado de temperatura sobre ingreso agrícola; no explica una estructura causal más amplia.","Media","propuesta_pendiente"
"70","https://hdl.handle.net/11362/45697","diagnostico_estructural","reclasificar","propuestas_politica","Formula la aplicación de una política eficiente de precios e impuesto óptimo; es una orientación de política.","Media","propuesta_pendiente"
"71","https://hdl.handle.net/11362/45697","propuestas_politica","reclasificar","contexto_antecedentes","Describe la estimación metodológica del impuesto óptimo, sin prescribir por sí misma una acción.","Media","propuesta_pendiente"
"72","https://hdl.handle.net/11362/45697","propuestas_politica","excluir","","La cita es una referencia bibliográfica aislada y no contiene evidencia climática o política analizable por sí sola.","Media","propuesta_pendiente"
"73","https://hdl.handle.net/11362/45699","propuestas_politica","mantener","","Recomienda explícitamente sistemas de subasta diferenciados según condiciones de competencia; es un instrumento de política.","Media","propuesta_pendiente"
"74","https://hdl.handle.net/11362/45699","propuestas_politica","reclasificar","estado_de_situacion","Describe el efecto observado de la asignación gratuita de bonos sobre utilidades; no formula propuesta.","Media","propuesta_pendiente"
"75","https://hdl.handle.net/11362/45699","propuestas_politica","mantener","","Propone contar con un esquema abierto como alternativa ante información imperfecta; es recomendación instrumental.","Media","propuesta_pendiente"
"76","https://hdl.handle.net/11362/45699","propuestas_politica","reclasificar","contexto_antecedentes","Explica el funcionamiento operativo de una subasta, sin recomendación ni resultado de implementación.","Media","propuesta_pendiente"
"77","https://hdl.handle.net/11362/45703","diagnostico_estructural","mantener","","Explica causalmente la tensión social que puede producir el cierre de plantas contaminantes sobre empleo e ingresos locales.","Media","propuesta_pendiente"
"78","https://hdl.handle.net/11362/45703","diagnostico_estructural","reclasificar","estado_de_situacion","Describe la creación y función de una institución ambiental; es un hecho institucional observado.","Media","propuesta_pendiente"
"79","https://hdl.handle.net/11362/46227","diagnostico_estructural","reclasificar","propuestas_politica","Presenta el impuesto como instrumento complementario para internalizar externalidades; corresponde a política, no a diagnóstico estructural.","Media","propuesta_pendiente"
"80","https://hdl.handle.net/11362/46227","diagnostico_estructural","reclasificar","propuestas_politica","Formula una orientación sobre cómo concebir las políticas sociales; es prescriptiva.","Media","propuesta_pendiente"
"81","https://hdl.handle.net/11362/46433","diagnostico_estructural","mantener","","La cita atribuye la coordinación/regulación y generación de valor al poder y control de una empresa dominante; contiene causalidad estructural explícita.","Alta",""
"82","https://hdl.handle.net/11362/46499","avances_implementacion","reclasificar","propuestas_politica","La cita sostiene una recomendación metodológica sobre mantener resoluciones de modelos; no evidencia implementación.","Media","propuesta_pendiente"
"83","https://hdl.handle.net/11362/46682","diagnostico_estructural","reclasificar","propuestas_politica","Define un criterio normativo de crecimiento compatible con protección ambiental; funciona como orientación de política.","Media","propuesta_pendiente"
"84","https://hdl.handle.net/11362/46853","diagnostico_estructural","reclasificar","estado_de_situacion","Reporta una participación proyectada del sector agropecuario en la economía; no desarrolla causalidad estructural.","Media","propuesta_pendiente"
"85","https://hdl.handle.net/11362/47534","avances_implementacion","reclasificar","estado_de_situacion","Proyecta aumento de casos de dengue asociado a escenario climático; es impacto esperado.","Media","propuesta_pendiente"
"86","https://hdl.handle.net/11362/47730","diagnostico_estructural","reclasificar","contexto_antecedentes","Describe el uso metodológico de escenarios de impuesto en el modelo; no explica una causa estructural.","Media","propuesta_pendiente"
"87","https://hdl.handle.net/11362/47730","diagnostico_estructural","reclasificar","contexto_antecedentes","Delimita objetivo, alcance y supuestos del estudio; es contexto metodológico.","Media","propuesta_pendiente"
"88","https://hdl.handle.net/11362/47730","diagnostico_estructural","reclasificar","estado_de_situacion","La cita reporta diferencias observadas en la respuesta de emisiones ante tasas impositivas; no explica la causa estructural de esas diferencias.","Alta",""
"89","https://hdl.handle.net/11362/47883","oportunidades","mantener","","La cita identifica una mejora ambiental potencial con ganancias agrícolas; brecha funciona como condición de oportunidad.","Alta",""
"90","https://hdl.handle.net/11362/47883","avances_implementacion","reclasificar","propuestas_politica","La cita describe metas y compromisos futuros, no una política ya implementada con resultado observable.","Media","propuesta_pendiente"
"91","https://hdl.handle.net/11362/47883","propuestas_politica","reclasificar","oportunidades","La solución técnica con mejora de productividad y ganancias agrícolas expresa una oportunidad, no una propuesta instrumental.","Media","propuesta_pendiente"
"92","https://hdl.handle.net/11362/47883","brechas_implementacion","mantener","brechas_implementacion","La cita evidencia insuficiencia de mecanismos y montos frente a costos de conservación.","Media","propuesta_pendiente"
"93","https://hdl.handle.net/11362/47903","propuestas_politica","reclasificar","estado_de_situacion","Describe una ausencia de cuenta/manual climático en el SCAE, no una propuesta.","Media","propuesta_pendiente"
"94","https://hdl.handle.net/11362/48122","propuestas_politica","reclasificar","contexto_antecedentes","Describe el contenido y proceso de los PAC, sin formular una recomendación propia.","Media","propuesta_pendiente"
"95","https://hdl.handle.net/11362/48166","diagnostico_estructural","mantener","","La cita explica causalmente la vulnerabilidad por debilidades de planificación y regulación urbana; corresponde al diagnóstico estructural.","Alta",""
"96","https://hdl.handle.net/11362/48543","propuestas_politica","mantener","propuestas_politica","La necesidad urgente de incrementar participación funciona como recomendación explícita.","Media","propuesta_pendiente"
"97","https://hdl.handle.net/11362/48611","avances_implementacion","reclasificar","propuestas_politica","Formula una propuesta concreta de matriz multicriterio, sin evidencia de implementación.","Media","propuesta_pendiente"
"98","https://hdl.handle.net/11362/48823","diagnostico_estructural","reclasificar","propuestas_politica","Prescribe medidas de transformación productiva y baja en carbono.","Media","propuesta_pendiente"
"99","https://hdl.handle.net/11362/48823","propuestas_politica","reclasificar","desafios","Identifica un riesgo climático y la necesidad de mayores esfuerzos; es desafío, no instrumento concreto.","Media","propuesta_pendiente"
"100","https://hdl.handle.net/11362/49053","diagnostico_estructural","reclasificar","estado_de_situacion","Describe una obligación vigente de reporte bajo un estándar minero.","Media","propuesta_pendiente"
"101","https://hdl.handle.net/11362/67979","diagnostico_estructural","mantener","diagnostico_estructural","Explica un mecanismo causal entre pérdidas, inversión/capital humano y productividad futura.","Media","propuesta_pendiente"
"102","https://hdl.handle.net/11362/68644","diagnostico_estructural","reclasificar","propuestas_politica","Formula una orientación normativa para gestionar y reducir el riesgo.","Media","propuesta_pendiente"
"103","https://hdl.handle.net/11362/68704","brechas_implementacion","mantener","brechas_implementacion","Señala una omisión concreta del cambio climático en la evaluación ambiental.","Media","propuesta_pendiente"
"104","https://hdl.handle.net/11362/68704","avances_implementacion","mantener","avances_implementacion","La guía metodológica fue publicada; la expectativa futura no elimina el avance observado.","Media","propuesta_pendiente"
"105","https://hdl.handle.net/11362/68756","propuestas_politica","mantener","propuestas_politica","La cita identifica explícitamente una propuesta de canales de impacto.","Media","propuesta_pendiente"
"106","https://hdl.handle.net/11362/68756","diagnostico_estructural","mantener","diagnostico_estructural","Explica causalmente cómo caudales afectan socavación y diseño de infraestructura.","Media","propuesta_pendiente"
"107","https://hdl.handle.net/11362/68761","propuestas_politica","reclasificar","contexto_antecedentes","Describe el modelo conceptual de tres brechas, sin propuesta específica.","Media","propuesta_pendiente"
"108","https://hdl.handle.net/11362/69216","propuestas_politica","mantener","propuestas_politica","Presenta una propuesta metodológica concreta con tres etapas.","Media","propuesta_pendiente"
"109","https://hdl.handle.net/11362/80499","propuestas_politica","reclasificar","brechas_implementacion","La ausencia de transporte público eficiente es una brecha de implementación.","Media","propuesta_pendiente"
"110","https://hdl.handle.net/11362/80561","propuestas_politica","reclasificar","oportunidades","Identifica espacio favorable para implementar planificación climática de largo plazo.","Media","propuesta_pendiente"
"111","https://hdl.handle.net/11362/80561","propuestas_politica","mantener","propuestas_politica","Presenta explícitamente una propuesta de criterios climáticos para priorizar inversiones.","Media","propuesta_pendiente"
"112","https://hdl.handle.net/11362/81149","propuestas_politica","mantener","propuestas_politica","Incluye propuesta metodológica, recomendaciones y lineamientos adaptables.","Media","propuesta_pendiente"
"113","https://hdl.handle.net/11362/81886","avances_implementacion","reclasificar","propuestas_politica","La cita formula orientar políticas y responsabilidades; no evidencia implementación.","Media","propuesta_pendiente"
"114","https://hdl.handle.net/11362/81886","avances_implementacion","reclasificar","propuestas_politica","Enumera acciones fiscales y de inversión que deben considerarse; es orientación de política.","Media","propuesta_pendiente"
"115","https://hdl.handle.net/11362/82026","propuestas_politica","mantener","propuestas_politica","Define un plan de inversiones y programas climáticos prioritarios; es instrumento propuesto.","Media","propuesta_pendiente"
"116","https://hdl.handle.net/11362/82476","propuestas_politica","reclasificar","avances_implementacion","Reporta que el Gobierno analiza priorizar un bono, pero no su implementación ni resultado observable.","Media","propuesta_pendiente"
"117","https://hdl.handle.net/11362/86527","diagnostico_estructural","reclasificar","estado_de_situacion","Reporta evidencia insuficiente sobre efectividad ambiental de impuestos aplicados en ALC.","Media","propuesta_pendiente"
