"caso","handle","dimension_original","decision","dimension_nueva","justificacion","certeza","fecha"
"27","https://hdl.handle.net/11362/40922","propuestas_politica","mantener","","La cita formula explícitamente que la agenda debería contemplar intercambio de experiencias y marcos legales/sistemas de información; es propuesta de política aunque también mencione que existe una agenda.","Alta",
"28","https://hdl.handle.net/11362/41041","brechas_implementacion","reclasificar","desafios","La cita establece que el financiamiento adecuado es condición para el éxito, pero no constata incumplimiento o insuficiencia de una política concreta; corresponde a desafío de implementación.","Media",
"29","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La cita establece una relación causal entre impuesto al carbono y costos económicos primarios y de interacción.","Alta",
"30","https://hdl.handle.net/11362/41867","tendencias","reclasificar","estado_de_situacion","La cita describe el estado incipiente y heterogéneo de la evidencia internacional, sin comparación temporal explícita.","Alta",
"31","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La cita explica una diferencia de impacto macroeconómico según estructura económica/desarrollo; el coeficiente aporta relación explicativa.","Alta",
"32","https://hdl.handle.net/11362/41867","diagnostico_estructural","mantener","","La conclusión conserva la relación causal entre desarrollo económico y costo macroeconómico del impuesto; no es una recomendación.","Alta",
"33","https://hdl.handle.net/11362/42140","avances_implementacion","reclasificar","propuestas_politica","La ley establece que una comisión debería crearse, pero la cita no demuestra que se haya creado ni que exista resultado observable; es diseño normativo.","Alta",
"34","https://hdl.handle.net/11362/42527","avances_implementacion","mantener","","El esfuerzo realizado permitió superar una dispersión sectorial y produjo un resultado observable en la justicia ambiental.","Alta",
"35","https://hdl.handle.net/11362/42527","propuestas_politica","reclasificar","brechas_implementacion","La cita cuantifica un aumento de financiamiento, pero señala que sigue siendo insuficiente; expresa brecha de recursos, no propuesta.","Alta",
"36","https://hdl.handle.net/11362/42725","diagnostico_estructural","reclasificar","propuestas_politica","La cita prescribe diseñar mitigación y adaptación de forma complementaria; las razones explicativas son fundamento de la recomendación.","Alta",
"37","https://hdl.handle.net/11362/43159","tendencias","reclasificar","estado_de_situacion","La cita describe el marco vigente de políticas ambientales y un plan histórico, sin una tendencia temporal analizada.","Alta",
"38","https://hdl.handle.net/11362/43159","propuestas_politica","reclasificar","contexto_antecedentes","La cita define el impuesto al carbono como instrumento alternativo/complementario; informa el marco conceptual, sin recomendar adoptarlo.","Alta",
"39","https://hdl.handle.net/11362/43407","propuestas_politica","mantener","","La cita compara políticas y concluye que una combinación es la más apta para el desarrollo sostenible; contiene orientación evaluativa de política.","Media",
"41","https://hdl.handle.net/11362/43725","diagnostico_estructural","reclasificar","tendencias","La cita cuantifica una reducción proyectada hacia 2100; describe evolución esperada, no causa estructural.","Alta",
"42","https://hdl.handle.net/11362/43725","diagnostico_estructural","reclasificar","estado_de_situacion","La cita reporta impactos negativos proyectados del cambio climático, sin explicación causal estructural.","Alta",
"43","https://hdl.handle.net/11362/44210","avances_implementacion","reclasificar","propuestas_politica","La cita describe una asignación presupuestaria prevista de un impuesto; es diseño/mandato de política, no implementación con resultado.","Alta",
